"Ano","Código da Grande Região","Nome da Grande Região","Código da Unidade da Federação","Sigla da Unidade da Federação","Nome da Unidade da Federação","Código do Município","Nome do Município","Região Metropolitana","Código da Mesorregião","Nome da Mesorregião","Código da Microrregião","Nome da Microrregião","Código da Região Geográfica Imediata","Nome da Região Geográfica Imediata","Município da Região Geográfica Imediata","Código da Região Geográfica Intermediária","Nome da Região Geográfica Intermediária","Município da Região Geográfica Intermediária","Código Concentração Urbana","Nome Concentração Urbana","Tipo Concentração Urbana","Código Arranjo Populacional","Nome Arranjo Populacional","Hierarquia Urbana","Hierarquia Urbana (principais categorias)","Código da Região Rural","Nome da Região Rural","Região rural (segundo classificação do núcleo)","Amazônia Legal","Semiárido","Cidade-Região de São Paulo","Valor adicionado bruto da Agropecuária a preços correntes(R$ 1.000)","Valor adicionado bruto da Indústria a preços correntes (R$ 1.000)","Valor adicionado bruto dos Serviços a preços correntes - exceto Administração em defesa educação e saúde públicas e seguridade social (R$ 1.000)","Valor adicionado bruto da Administração, defesa, educação e saúde públicas e seguridade social a preços correntes (R$ 1.000)","Valor adicionado bruto total a preços correntes (R$ 1.000)","Impostos, líquidos de subsídios, sobre produtos a preços correntes (R$ 1.000)","Produto Interno Bruto a preços correntes (R$ 1.000)","Produto Interno Bruto per capita a preços correntes (R$ 1,00)","Atividade com maior valor adicionado bruto","Atividade com segundo maior valor adicionado bruto","Atividade com terceiro maior valor adicionado bruto"



"2002","3","Sudeste","31","MG","Minas Gerais","3118304","Conselheiro Lafaiete","","3107","Metropolitana de Belo Horizonte","31034","Conselheiro Lafaiete","310038","Conselheiro Lafaiete","Polo","3107","Barbacena","do Entorno","3118304","Conselheiro Lafaiete/MG","Média concentração urbana","3118304","Conselheiro Lafaiete/MG","Centro Subregional B","Centro Subregional","3104","Região Rural da Capital Regional de Juiz de Fora","Região Rural de Capital Regional","Não","Não","Não","  2,442 ","  42,480 ","  213,384 ","  95,509 ","  353,814 ","  36,581 ","  390,395 ","  3,655.62 "
"2003","3","Sudeste","31","MG","Minas Gerais","3118304","Conselheiro Lafaiete","","3107","Metropolitana de Belo Horizonte","31034","Conselheiro Lafaiete","310038","Conselheiro Lafaiete","Polo","3107","Barbacena","do Entorno","3118304","Conselheiro Lafaiete/MG","Média concentração urbana","3118304","Conselheiro Lafaiete/MG","Centro Subregional B","Centro Subregional","3104","Região Rural da Capital Regional de Juiz de Fora","Região Rural de Capital Regional","Não","Não","Não","  3,522 ","  48,935 ","  251,167 ","  101,693 ","  405,316 ","  44,196 ","  449,512 ","  4,148.74 "
"2004","3","Sudeste","31","MG","Minas Gerais","3118304","Conselheiro Lafaiete","","3107","Metropolitana de Belo Horizonte","31034","Conselheiro Lafaiete","310038","Conselheiro Lafaiete","Polo","3107","Barbacena","do Entorno","3118304","Conselheiro Lafaiete/MG","Média concentração urbana","3118304","Conselheiro Lafaiete/MG","Centro Subregional B","Centro Subregional","3104","Região Rural da Capital Regional de Juiz de Fora","Região Rural de Capital Regional","Não","Não","Não","  4,531 ","  104,016 ","  317,200 ","  115,134 ","  540,882 ","  58,058 ","  598,940 ","  5,449.66 "
"2005","3","Sudeste","31","MG","Minas Gerais","3118304","Conselheiro Lafaiete","","3107","Metropolitana de Belo Horizonte","31034","Conselheiro Lafaiete","310038","Conselheiro Lafaiete","Polo","3107","Barbacena","do Entorno","3118304","Conselheiro Lafaiete/MG","Média concentração urbana","3118304","Conselheiro Lafaiete/MG","Centro Subregional B","Centro Subregional","3104","Região Rural da Capital Regional de Juiz de Fora","Região Rural de Capital Regional","Não","Não","Não","  3,652 ","  82,288 ","  346,905 ","  131,609 ","  564,453 ","  68,700 ","  633,153 ","  5,680.18 "
"2006","3","Sudeste","31","MG","Minas Gerais","3118304","Conselheiro Lafaiete","","3107","Metropolitana de Belo Horizonte","31034","Conselheiro Lafaiete","310038","Conselheiro Lafaiete","Polo","3107","Barbacena","do Entorno","3118304","Conselheiro Lafaiete/MG","Média concentração urbana","3118304","Conselheiro Lafaiete/MG","Centro Subregional B","Centro Subregional","3104","Região Rural da Capital Regional de Juiz de Fora","Região Rural de Capital Regional","Não","Não","Não","  4,114 ","  78,976 ","  407,641 ","  149,936 ","  640,667 ","  71,386 ","  712,053 ","  6,300.30 "
"2007","3","Sudeste","31","MG","Minas Gerais","3118304","Conselheiro Lafaiete","","3107","Metropolitana de Belo Horizonte","31034","Conselheiro Lafaiete","310038","Conselheiro Lafaiete","Polo","3107","Barbacena","do Entorno","3118304","Conselheiro Lafaiete/MG","Média concentração urbana","3118304","Conselheiro Lafaiete/MG","Centro Subregional B","Centro Subregional","3104","Região Rural da Capital Regional de Juiz de Fora","Região Rural de Capital Regional","Não","Não","Não","  4,343 ","  89,828 ","  452,575 ","  160,818 ","  707,563 ","  80,213 ","  787,776 ","  7,208.78 "
"2008","3","Sudeste","31","MG","Minas Gerais","3118304","Conselheiro Lafaiete","","3107","Metropolitana de Belo Horizonte","31034","Conselheiro Lafaiete","310038","Conselheiro Lafaiete","Polo","3107","Barbacena","do Entorno","3118304","Conselheiro Lafaiete/MG","Média concentração urbana","3118304","Conselheiro Lafaiete/MG","Centro Subregional B","Centro Subregional","3104","Região Rural da Capital Regional de Juiz de Fora","Região Rural de Capital Regional","Não","Não","Não","  4,599 ","  106,203 ","  508,861 ","  201,907 ","  821,569 ","  97,580 ","  919,149 ","  8,092.81 "
"2009","3","Sudeste","31","MG","Minas Gerais","3118304","Conselheiro Lafaiete","","3107","Metropolitana de Belo Horizonte","31034","Conselheiro Lafaiete","310038","Conselheiro Lafaiete","Polo","3107","Barbacena","do Entorno","3118304","Conselheiro Lafaiete/MG","Média concentração urbana","3118304","Conselheiro Lafaiete/MG","Centro Subregional B","Centro Subregional","3104","Região Rural da Capital Regional de Juiz de Fora","Região Rural de Capital Regional","Não","Não","Não","  4,222 ","  113,636 ","  561,539 ","  208,090 ","  887,487 ","  90,268 ","  977,755 ","  8,533.46 "
"2010","3","Sudeste","31","MG","Minas Gerais","3118304","Conselheiro Lafaiete","","3107","Metropolitana de Belo Horizonte","31034","Conselheiro Lafaiete","310038","Conselheiro Lafaiete","Polo","3107","Barbacena","do Entorno","3118304","Conselheiro Lafaiete/MG","Média concentração urbana","3118304","Conselheiro Lafaiete/MG","Centro Subregional B","Centro Subregional","3104","Região Rural da Capital Regional de Juiz de Fora","Região Rural de Capital Regional","Não","Não","Não","  4,775 ","  130,984 ","  638,388 ","  243,918 ","  1,018,066 ","  111,875 ","  1,129,941 ","  9,696.81 ","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social","Comércio e reparação de veículos automotores e motocicletas"
"2011","3","Sudeste","31","MG","Minas Gerais","3118304","Conselheiro Lafaiete","","3107","Metropolitana de Belo Horizonte","31034","Conselheiro Lafaiete","310038","Conselheiro Lafaiete","Polo","3107","Barbacena","do Entorno","3118304","Conselheiro Lafaiete/MG","Média concentração urbana","3118304","Conselheiro Lafaiete/MG","Centro Subregional B","Centro Subregional","3104","Região Rural da Capital Regional de Juiz de Fora","Região Rural de Capital Regional","Não","Não","Não","  4,897 ","  157,077 ","  718,253 ","  275,584 ","  1,155,811 ","  120,921 ","  1,276,732 ","  10,860.07 ","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social","Comércio e reparação de veículos automotores e motocicletas"
"2012","3","Sudeste","31","MG","Minas Gerais","3118304","Conselheiro Lafaiete","","3107","Metropolitana de Belo Horizonte","31034","Conselheiro Lafaiete","310038","Conselheiro Lafaiete","Polo","3107","Barbacena","do Entorno","3118304","Conselheiro Lafaiete/MG","Média concentração urbana","3118304","Conselheiro Lafaiete/MG","Centro Subregional B","Centro Subregional","3104","Região Rural da Capital Regional de Juiz de Fora","Região Rural de Capital Regional","Não","Não","Não","  4,546 ","  188,366 ","  880,494 ","  307,153 ","  1,380,559 ","  140,479 ","  1,521,038 ","  12,827.32 ","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social","Comércio e reparação de veículos automotores e motocicletas"
"2013","3","Sudeste","31","MG","Minas Gerais","3118304","Conselheiro Lafaiete","","3107","Metropolitana de Belo Horizonte","31034","Conselheiro Lafaiete","310038","Conselheiro Lafaiete","Polo","3107","Barbacena","do Entorno","3118304","Conselheiro Lafaiete/MG","Média concentração urbana","3118304","Conselheiro Lafaiete/MG","Centro Subregional B","Centro Subregional","3104","Região Rural da Capital Regional de Juiz de Fora","Região Rural de Capital Regional","Não","Não","Não","  9,107 ","  211,155 ","  1,000,087 ","  350,396 ","  1,570,745 ","  145,924 ","  1,716,669 ","  13,925.52 ","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social","Comércio e reparação de veículos automotores e motocicletas"
"2014","3","Sudeste","31","MG","Minas Gerais","3118304","Conselheiro Lafaiete","","3107","Metropolitana de Belo Horizonte","31034","Conselheiro Lafaiete","310038","Conselheiro Lafaiete","Polo","3107","Barbacena","do Entorno","3118304","Conselheiro Lafaiete/MG","Média concentração urbana","3118304","Conselheiro Lafaiete/MG","Centro Subregional B","Centro Subregional","3104","Região Rural da Capital Regional de Juiz de Fora","Região Rural de Capital Regional","Não","Não","Não","  7,490 ","  174,015 ","  1,073,088 ","  387,890 ","  1,642,483 ","  147,111 ","  1,789,595 ","  14,389.28 ","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social","Comércio e reparação de veículos automotores e motocicletas"
"2015","3","Sudeste","31","MG","Minas Gerais","3118304","Conselheiro Lafaiete","","3107","Metropolitana de Belo Horizonte","31034","Conselheiro Lafaiete","310038","Conselheiro Lafaiete","Polo","3107","Barbacena","do Entorno","3118304","Conselheiro Lafaiete/MG","Média concentração urbana","3118304","Conselheiro Lafaiete/MG","Centro Subregional B","Centro Subregional","3104","Região Rural da Capital Regional de Juiz de Fora","Região Rural de Capital Regional","Não","Não","Não","  8,063 ","  172,439 ","  1,116,359 ","  430,424 ","  1,727,285 ","  151,700 ","  1,878,985 ","  14,981.42 ","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social","Comércio e reparação de veículos automotores e motocicletas"
"2016","3","Sudeste","31","MG","Minas Gerais","3118304","Conselheiro Lafaiete","","3107","Metropolitana de Belo Horizonte","31034","Conselheiro Lafaiete","310038","Conselheiro Lafaiete","Polo","3107","Barbacena","do Entorno","3118304","Conselheiro Lafaiete/MG","Média concentração urbana","3118304","Conselheiro Lafaiete/MG","Centro Subregional B","Centro Subregional","3104","Região Rural da Capital Regional de Juiz de Fora","Região Rural de Capital Regional","Não","Não","Não","  12,021 ","  192,641 ","  1,160,243 ","  463,258 ","  1,828,162 ","  171,028 ","  1,999,190 ","  15,813.88 ","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social","Comércio e reparação de veículos automotores e motocicletas"
"2017","3","Sudeste","31","MG","Minas Gerais","3118304","Conselheiro Lafaiete","","3107","Metropolitana de Belo Horizonte","31034","Conselheiro Lafaiete","310038","Conselheiro Lafaiete","Polo","3107","Barbacena","do Entorno","3118304","Conselheiro Lafaiete/MG","Média concentração urbana","3118304","Conselheiro Lafaiete/MG","Centro Subregional B","Centro Subregional","3104","Região Rural da Capital Regional de Juiz de Fora","Região Rural de Capital Regional","Não","Não","Não","  10,800 ","  195,685 ","  1,224,323 ","  502,821 ","  1,933,629 ","  192,708 ","  2,126,337 ","  16,694.30 ","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social","Comércio e reparação de veículos automotores e motocicletas"
"2018","3","Sudeste","31","MG","Minas Gerais","3118304","Conselheiro Lafaiete","","3107","Metropolitana de Belo Horizonte","31034","Conselheiro Lafaiete","310038","Conselheiro Lafaiete","Polo","3107","Barbacena","do Entorno","3118304","Conselheiro Lafaiete/MG","Média concentração urbana","3118304","Conselheiro Lafaiete/MG","Centro Subregional B","Centro Subregional","3104","Região Rural da Capital Regional de Juiz de Fora","Região Rural de Capital Regional","Não","Não","Não","  9,694 ","  200,346 ","  1,201,158 ","  525,372 ","  1,936,570 ","  169,329 ","  2,105,899 ","  16,511.80 ","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social","Comércio e reparação de veículos automotores e motocicletas"
"2019","3","Sudeste","31","MG","Minas Gerais","3118304","Conselheiro Lafaiete","","3107","Metropolitana de Belo Horizonte","31034","Conselheiro Lafaiete","310038","Conselheiro Lafaiete","Polo","3107","Barbacena","do Entorno","3118304","Conselheiro Lafaiete/MG","Média concentração urbana","3118304","Conselheiro Lafaiete/MG","Centro Subregional B","Centro Subregional","3104","Região Rural da Capital Regional de Juiz de Fora","Região Rural de Capital Regional","Não","Não","Não","  11,946 ","  330,248 ","  1,426,466 ","  541,501 ","  2,310,160 ","  198,959 ","  2,509,119 ","  19,512.70 ","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social","Comércio e reparação de veículos automotores e motocicletas"

"2002","3","Sudeste","31","MG","Minas Gerais","3118601","Contagem","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  279 ","  1,877,214 ","  2,561,958 ","  601,828 ","  5,041,279 ","  1,224,829 ","  6,266,108 ","  11,121.66 "
"2003","3","Sudeste","31","MG","Minas Gerais","3118601","Contagem","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  314 ","  2,222,889 ","  3,238,954 ","  627,483 ","  6,089,640 ","  1,481,910 ","  7,571,550 ","  13,204.59 "
"2004","3","Sudeste","31","MG","Minas Gerais","3118601","Contagem","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  380 ","  2,960,910 ","  3,349,174 ","  704,569 ","  7,015,033 ","  1,439,881 ","  8,454,914 ","  14,492.83 "
"2005","3","Sudeste","31","MG","Minas Gerais","3118601","Contagem","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  559 ","  3,354,605 ","  3,887,432 ","  808,033 ","  8,050,629 ","  1,871,562 ","  9,922,192 ","  16,720.38 "
"2006","3","Sudeste","31","MG","Minas Gerais","3118601","Contagem","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  598 ","  3,899,698 ","  4,976,852 ","  915,052 ","  9,792,200 ","  1,932,747 ","  11,724,947 ","  19,432.24 "
"2007","3","Sudeste","31","MG","Minas Gerais","3118601","Contagem","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  710 ","  4,180,918 ","  5,640,767 ","  1,034,310 ","  10,856,705 ","  2,150,403 ","  13,007,108 ","  21,370.42 "
"2008","3","Sudeste","31","MG","Minas Gerais","3118601","Contagem","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  1,089 ","  4,847,046 ","  6,770,962 ","  1,209,669 ","  12,828,766 ","  2,667,516 ","  15,496,281 ","  25,085.08 "
"2009","3","Sudeste","31","MG","Minas Gerais","3118601","Contagem","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  1,161 ","  4,765,418 ","  7,353,510 ","  1,247,605 ","  13,367,693 ","  2,818,502 ","  16,186,195 ","  25,881.64 "
"2010","3","Sudeste","31","MG","Minas Gerais","3118601","Contagem","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  1,121 ","  5,631,434 ","  8,886,422 ","  1,381,969 ","  15,900,946 ","  3,241,690 ","  19,142,636 ","  31,743.14 ","Demais serviços","Indústrias de transformação","Comércio e reparação de veículos automotores e motocicletas"
"2011","3","Sudeste","31","MG","Minas Gerais","3118601","Contagem","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  1,223 ","  6,080,326 ","  9,195,195 ","  1,562,652 ","  16,839,396 ","  3,381,517 ","  20,220,913 ","  33,219.02 ","Demais serviços","Indústrias de transformação","Comércio e reparação de veículos automotores e motocicletas"
"2012","3","Sudeste","31","MG","Minas Gerais","3118601","Contagem","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  1,345 ","  5,845,007 ","  11,155,734 ","  1,755,834 ","  18,757,920 ","  3,818,585 ","  22,576,505 ","  36,780.63 ","Demais serviços","Comércio e reparação de veículos automotores e motocicletas","Indústrias de transformação"
"2013","3","Sudeste","31","MG","Minas Gerais","3118601","Contagem","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  1,611 ","  5,839,822 ","  12,472,895 ","  2,004,059 ","  20,318,387 ","  4,039,971 ","  24,358,358 ","  38,181.58 ","Demais serviços","Comércio e reparação de veículos automotores e motocicletas","Indústrias de transformação"
"2014","3","Sudeste","31","MG","Minas Gerais","3118601","Contagem","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  1,708 ","  6,439,758 ","  13,434,101 ","  2,202,204 ","  22,077,771 ","  4,359,879 ","  26,437,650 ","  41,085.68 ","Demais serviços","Comércio e reparação de veículos automotores e motocicletas","Indústrias de transformação"
"2015","3","Sudeste","31","MG","Minas Gerais","3118601","Contagem","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  1,856 ","  5,703,256 ","  13,720,085 ","  2,371,035 ","  21,796,232 ","  4,232,063 ","  26,028,295 ","  40,119.70 ","Demais serviços","Comércio e reparação de veículos automotores e motocicletas","Indústrias de transformação"
"2016","3","Sudeste","31","MG","Minas Gerais","3118601","Contagem","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  2,401 ","  5,489,153 ","  13,854,070 ","  2,477,425 ","  21,823,049 ","  4,667,513 ","  26,490,561 ","  40,517.84 ","Demais serviços","Comércio e reparação de veículos automotores e motocicletas","Indústrias de transformação"
"2017","3","Sudeste","31","MG","Minas Gerais","3118601","Contagem","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  2,038 ","  5,690,921 ","  15,495,953 ","  2,680,313 ","  23,869,225 ","  5,125,958 ","  28,995,183 ","  44,026.82 ","Demais serviços","Comércio e reparação de veículos automotores e motocicletas","Indústrias de transformação"
"2018","3","Sudeste","31","MG","Minas Gerais","3118601","Contagem","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  1,907 ","  5,662,577 ","  14,519,824 ","  2,791,791 ","  22,976,099 ","  4,844,353 ","  27,820,452 ","  42,211.68 ","Demais serviços","Comércio e reparação de veículos automotores e motocicletas","Indústrias de transformação"
"2019","3","Sudeste","31","MG","Minas Gerais","3118601","Contagem","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  2,102 ","  6,425,590 ","  15,975,976 ","  2,843,742 ","  25,247,410 ","  5,193,729 ","  30,441,140 ","  45,855.10 ","Demais serviços","Comércio e reparação de veículos automotores e motocicletas","Indústrias de transformação"

"2002","3","Sudeste","31","MG","Minas Gerais","3120409","Cristiano Otoni","","3107","Metropolitana de Belo Horizonte","31034","Conselheiro Lafaiete","310038","Conselheiro Lafaiete","do Entorno","3107","Barbacena","do Entorno","","","","","","Centro Local","Centro Local","3104","Região Rural da Capital Regional de Juiz de Fora","Região Rural de Capital Regional","Não","Não","Não","  1,946 ","  1,694 ","  6,062 ","  5,330 ","  15,032 ","  1,276 ","  16,309 ","  3,195.92 "
"2003","3","Sudeste","31","MG","Minas Gerais","3120409","Cristiano Otoni","","3107","Metropolitana de Belo Horizonte","31034","Conselheiro Lafaiete","310038","Conselheiro Lafaiete","do Entorno","3107","Barbacena","do Entorno","","","","","","Centro Local","Centro Local","3104","Região Rural da Capital Regional de Juiz de Fora","Região Rural de Capital Regional","Não","Não","Não","  2,792 ","  2,162 ","  7,096 ","  5,827 ","  17,878 ","  1,720 ","  19,598 ","  3,781.98 "
"2004","3","Sudeste","31","MG","Minas Gerais","3120409","Cristiano Otoni","","3107","Metropolitana de Belo Horizonte","31034","Conselheiro Lafaiete","310038","Conselheiro Lafaiete","do Entorno","3107","Barbacena","do Entorno","","","","","","Centro Local","Centro Local","3104","Região Rural da Capital Regional de Juiz de Fora","Região Rural de Capital Regional","Não","Não","Não","  3,181 ","  3,286 ","  8,474 ","  6,293 ","  21,235 ","  1,883 ","  23,118 ","  4,395.04 "
"2005","3","Sudeste","31","MG","Minas Gerais","3120409","Cristiano Otoni","","3107","Metropolitana de Belo Horizonte","31034","Conselheiro Lafaiete","310038","Conselheiro Lafaiete","do Entorno","3107","Barbacena","do Entorno","","","","","","Centro Local","Centro Local","3104","Região Rural da Capital Regional de Juiz de Fora","Região Rural de Capital Regional","Não","Não","Não","  2,961 ","  3,369 ","  9,070 ","  7,213 ","  22,613 ","  2,232 ","  24,845 ","  4,654.42 "
"2006","3","Sudeste","31","MG","Minas Gerais","3120409","Cristiano Otoni","","3107","Metropolitana de Belo Horizonte","31034","Conselheiro Lafaiete","310038","Conselheiro Lafaiete","do Entorno","3107","Barbacena","do Entorno","","","","","","Centro Local","Centro Local","3104","Região Rural da Capital Regional de Juiz de Fora","Região Rural de Capital Regional","Não","Não","Não","  3,086 ","  3,429 ","  10,570 ","  8,748 ","  25,833 ","  2,387 ","  28,220 ","  5,210.48 "
"2007","3","Sudeste","31","MG","Minas Gerais","3120409","Cristiano Otoni","","3107","Metropolitana de Belo Horizonte","31034","Conselheiro Lafaiete","310038","Conselheiro Lafaiete","do Entorno","3107","Barbacena","do Entorno","","","","","","Centro Local","Centro Local","3104","Região Rural da Capital Regional de Juiz de Fora","Região Rural de Capital Regional","Não","Não","Não","  3,243 ","  3,693 ","  11,833 ","  9,427 ","  28,195 ","  2,385 ","  30,580 ","  6,265.12 "
"2008","3","Sudeste","31","MG","Minas Gerais","3120409","Cristiano Otoni","","3107","Metropolitana de Belo Horizonte","31034","Conselheiro Lafaiete","310038","Conselheiro Lafaiete","do Entorno","3107","Barbacena","do Entorno","","","","","","Centro Local","Centro Local","3104","Região Rural da Capital Regional de Juiz de Fora","Região Rural de Capital Regional","Não","Não","Não","  3,862 ","  4,046 ","  13,727 ","  10,716 ","  32,351 ","  2,826 ","  35,177 ","  6,992.12 "
"2009","3","Sudeste","31","MG","Minas Gerais","3120409","Cristiano Otoni","","3107","Metropolitana de Belo Horizonte","31034","Conselheiro Lafaiete","310038","Conselheiro Lafaiete","do Entorno","3107","Barbacena","do Entorno","","","","","","Centro Local","Centro Local","3104","Região Rural da Capital Regional de Juiz de Fora","Região Rural de Capital Regional","Não","Não","Não","  3,957 ","  5,583 ","  13,992 ","  11,511 ","  35,043 ","  2,462 ","  37,505 ","  7,442.93 "
