"Ano","Código da Grande Região","Nome da Grande Região","Código da Unidade da Federação","Sigla da Unidade da Federação","Nome da Unidade da Federação","Código do Município","Nome do Município","Região Metropolitana","Código da Mesorregião","Nome da Mesorregião","Código da Microrregião","Nome da Microrregião","Código da Região Geográfica Imediata","Nome da Região Geográfica Imediata","Município da Região Geográfica Imediata","Código da Região Geográfica Intermediária","Nome da Região Geográfica Intermediária","Município da Região Geográfica Intermediária","Código Concentração Urbana","Nome Concentração Urbana","Tipo Concentração Urbana","Código Arranjo Populacional","Nome Arranjo Populacional","Hierarquia Urbana","Hierarquia Urbana (principais categorias)","Código da Região Rural","Nome da Região Rural","Região rural (segundo classificação do núcleo)","Amazônia Legal","Semiárido","Cidade-Região de São Paulo","Valor adicionado bruto da Agropecuária a preços correntes(R$ 1.000)","Valor adicionado bruto da Indústria a preços correntes (R$ 1.000)","Valor adicionado bruto dos Serviços a preços correntes - exceto Administração em defesa educação e saúde públicas e seguridade social (R$ 1.000)","Valor adicionado bruto da Administração, defesa, educação e saúde públicas e seguridade social a preços correntes (R$ 1.000)","Valor adicionado bruto total a preços correntes (R$ 1.000)","Impostos, líquidos de subsídios, sobre produtos a preços correntes (R$ 1.000)","Produto Interno Bruto a preços correntes (R$ 1.000)","Produto Interno Bruto per capita a preços correntes (R$ 1,00)","Atividade com maior valor adicionado bruto","Atividade com segundo maior valor adicionado bruto","Atividade com terceiro maior valor adicionado bruto"
"2019","3","Sudeste","31","MG","Minas Gerais","3118304","Conselheiro Lafaiete","","3107","Metropolitana de Belo Horizonte","31034","Conselheiro Lafaiete","310038","Conselheiro Lafaiete","Polo","3107","Barbacena","do Entorno","3118304","Conselheiro Lafaiete/MG","Média concentração urbana","3118304","Conselheiro Lafaiete/MG","Centro Subregional B","Centro Subregional","3104","Região Rural da Capital Regional de Juiz de Fora","Região Rural de Capital Regional","Não","Não","Não","  11,946 ","  330,248 ","  1,426,466 ","  541,501 ","  2,310,160 ","  198,959 ","  2,509,119 ","  19,512.70 ","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social","Comércio e reparação de veículos automotores e motocicletas"
"2019","3","Sudeste","31","MG","Minas Gerais","3118601","Contagem","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  2,102 ","  6,425,590 ","  15,975,976 ","  2,843,742 ","  25,247,410 ","  5,193,729 ","  30,441,140 ","  45,855.10 ","Demais serviços","Comércio e reparação de veículos automotores e motocicletas","Indústrias de transformação"
"2019","3","Sudeste","31","MG","Minas Gerais","3120607","Crucilândia","","3107","Metropolitana de Belo Horizonte","31032","Itaguara","310069","Oliveira","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  7,609 ","  10,095 ","  25,847 ","  24,953 ","  68,503 ","  4,236 ","  72,739 ","  14,449.58 ","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços","Indústrias de transformação"
"2019","3","Sudeste","31","MG","Minas Gerais","3120904","Curvelo","","3106","Central Mineira","31025","Curvelo","310004","Curvelo","Polo","3101","Belo Horizonte","do Entorno","","","","3120904","Curvelo/MG","Centro de Zona A","Centro de Zona","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  197,766 ","  245,263 ","  873,637 ","  328,192 ","  1,644,858 ","  168,043 ","  1,812,901 ","  22,624.78 ","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social","Comércio e reparação de veículos automotores e motocicletas"
"2019","3","Sudeste","31","MG","Minas Gerais","3121407","Desterro de Entre Rios","","3107","Metropolitana de Belo Horizonte","31034","Conselheiro Lafaiete","310038","Conselheiro Lafaiete","do Entorno","3107","Barbacena","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  13,268 ","  78,196 ","  60,032 ","  31,763 ","  183,259 ","  7,912 ","  191,172 ","  26,393.98 ","Indústrias extrativas","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social"
"2019","3","Sudeste","31","MG","Minas Gerais","3123908","Entre Rios de Minas","","3107","Metropolitana de Belo Horizonte","31034","Conselheiro Lafaiete","310038","Conselheiro Lafaiete","do Entorno","3107","Barbacena","do Entorno","","","","","","Centro de Zona B","Centro de Zona","3104","Região Rural da Capital Regional de Juiz de Fora","Região Rural de Capital Regional","Não","Não","Não","  14,816 ","  27,081 ","  104,569 ","  63,305 ","  209,771 ","  18,521 ","  228,293 ","  14,923.05 ","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social","Comércio e reparação de veículos automotores e motocicletas"
"2019","3","Sudeste","31","MG","Minas Gerais","3124104","Esmeraldas","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  24,967 ","  62,325 ","  312,535 ","  292,797 ","  692,623 ","  47,054 ","  739,678 ","  10,484.15 ","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços","Comércio e reparação de veículos automotores e motocicletas"
"2019","3","Sudeste","31","MG","Minas Gerais","3125705","Felixlândia","","3106","Central Mineira","31025","Curvelo","310004","Curvelo","do Entorno","3101","Belo Horizonte","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  42,075 ","  9,265 ","  83,218 ","  69,468 ","  204,026 ","  18,208 ","  222,234 ","  14,490.99 ","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços","Produção florestal, pesca e aquicultura"
"2019","3","Sudeste","31","MG","Minas Gerais","3126000","Florestal","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31029","Pará de Minas","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  9,183 ","  12,648 ","  56,492 ","  35,269 ","  113,592 ","  9,597 ","  123,189 ","  16,511.05 ","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social","Comércio e reparação de veículos automotores e motocicletas"
"2019","3","Sudeste","31","MG","Minas Gerais","3126406","Fortuna de Minas","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31027","Sete Lagoas","310002","Sete Lagoas","do Entorno","3101","Belo Horizonte","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  6,239 ","  2,742 ","  11,726 ","  17,854 ","  38,561 ","  1,472 ","  40,033 ","  13,584.21 ","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços","Pecuária, inclusive apoio à pecuária"
"2019","3","Sudeste","31","MG","Minas Gerais","3129806","Ibirité","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  1,875 ","  717,402 ","  853,103 ","  745,977 ","  2,318,357 ","  219,672 ","  2,538,029 ","  14,084.20 ","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação"
"2019","3","Sudeste","31","MG","Minas Gerais","3130101","Igarapé","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  59,845 ","  127,311 ","  337,682 ","  184,678 ","  709,516 ","  72,818 ","  782,335 ","  18,174.81 ","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social","Comércio e reparação de veículos automotores e motocicletas"
"2019","3","Sudeste","31","MG","Minas Gerais","3131000","Inhaúma","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31027","Sete Lagoas","310002","Sete Lagoas","do Entorno","3101","Belo Horizonte","do Entorno","3167202","Sete Lagoas/MG","Média concentração urbana","3167202","Sete Lagoas/MG","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  11,589 ","  21,310 ","  38,483 ","  32,342 ","  103,723 ","  9,535 ","  113,258 ","  18,060.59 ","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social","Indústrias extrativas"
"2019","3","Sudeste","31","MG","Minas Gerais","3133709","Itatiaiuçu","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31032","Itaguara","310065","Divinópolis","do Entorno","3113","Divinópolis","do Entorno","","","","3133808","Itaúna/MG","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  22,628 ","  1,177,398 ","  417,784 ","  64,727 ","  1,682,537 ","  71,318 ","  1,753,855 ","  157,352.87 ","Indústrias extrativas","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social"
"2019","3","Sudeste","31","MG","Minas Gerais","3133808","Itaúna","Região Metropolitana de Belo Horizonte","3109","Oeste de Minas","31043","Divinópolis","310065","Divinópolis","do Entorno","3113","Divinópolis","do Entorno","","","","3133808","Itaúna/MG","Centro de Zona B","Centro de Zona","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  27,002 ","  1,120,059 ","  1,387,364 ","  427,749 ","  2,962,175 ","  512,777 ","  3,474,951 ","  37,279.29 ","Demais serviços","Indústrias de transformação","Administração, defesa, educação e saúde públicas e seguridade social"
"2019","3","Sudeste","31","MG","Minas Gerais","3133907","Itaverava","","3107","Metropolitana de Belo Horizonte","31034","Conselheiro Lafaiete","310038","Conselheiro Lafaiete","do Entorno","3107","Barbacena","do Entorno","","","","","","Centro Local","Centro Local","3104","Região Rural da Capital Regional de Juiz de Fora","Região Rural de Capital Regional","Não","Não","Não","  5,221 ","  5,187 ","  19,083 ","  25,303 ","  54,794 ","  3,021 ","  57,815 ","  10,668.94 ","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços","Comércio e reparação de veículos automotores e motocicletas"
"2019","3","Sudeste","31","MG","Minas Gerais","3135407","Jeceaba","","3107","Metropolitana de Belo Horizonte","31032","Itaguara","310038","Conselheiro Lafaiete","do Entorno","3107","Barbacena","do Entorno","3118304","Conselheiro Lafaiete/MG","Média concentração urbana","3118304","Conselheiro Lafaiete/MG","Centro Local","Centro Local","3104","Região Rural da Capital Regional de Juiz de Fora","Região Rural de Capital Regional","Não","Não","Não","  6,867 ","  714,332 ","  273,128 ","  54,431 ","  1,048,758 ","  176,128 ","  1,224,886 ","  249,366.03 ","Indústrias de transformação","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social"
"2019","3","Sudeste","31","MG","Minas Gerais","3136652","Juatuba","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  2,543 ","  551,402 ","  397,063 ","  150,920 ","  1,101,928 ","  248,694 ","  1,350,623 ","  50,123.31 ","Indústrias de transformação","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social"
"2019","3","Sudeste","31","MG","Minas Gerais","3137403","Lagoa Dourada","","3111","Campo das Vertentes","31058","São João Del Rei","310039","São João del Rei","do Entorno","3107","Barbacena","do Entorno","","","","","","Centro Local","Centro Local","3104","Região Rural da Capital Regional de Juiz de Fora","Região Rural de Capital Regional","Não","Não","Não","  72,417 ","  11,372 ","  110,563 ","  57,638 ","  251,989 ","  19,334 ","  271,323 ","  20,856.56 ","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social","Agricultura, inclusive apoio à agricultura e a pós colheita"
