"Ano","Código da Grande Região","Nome da Grande Região","Código da Unidade da Federação","Sigla da Unidade da Federação","Nome da Unidade da Federação","Código do Município","Nome do Município","Região Metropolitana","Código da Mesorregião","Nome da Mesorregião","Código da Microrregião","Nome da Microrregião","Código da Região Geográfica Imediata","Nome da Região Geográfica Imediata","Município da Região Geográfica Imediata","Código da Região Geográfica Intermediária","Nome da Região Geográfica Intermediária","Município da Região Geográfica Intermediária","Código Concentração Urbana","Nome Concentração Urbana","Tipo Concentração Urbana","Código Arranjo Populacional","Nome Arranjo Populacional","Hierarquia Urbana","Hierarquia Urbana (principais categorias)","Código da Região Rural","Nome da Região Rural","Região rural (segundo classificação do núcleo)","Amazônia Legal","Semiárido","Cidade-Região de São Paulo","Valor adicionado bruto da Agropecuária a preços correntes(R$ 1.000)","Valor adicionado bruto da Indústria a preços correntes (R$ 1.000)","Valor adicionado bruto dos Serviços a preços correntes - exceto Administração em defesa educação e saúde públicas e seguridade social (R$ 1.000)","Valor adicionado bruto da Administração, defesa, educação e saúde públicas e seguridade social a preços correntes (R$ 1.000)","Valor adicionado bruto total a preços correntes (R$ 1.000)","Impostos, líquidos de subsídios, sobre produtos a preços correntes (R$ 1.000)","Produto Interno Bruto a preços correntes (R$ 1.000)","Produto Interno Bruto per capita a preços correntes (R$ 1,00)","Atividade com maior valor adicionado bruto","Atividade com segundo maior valor adicionado bruto","Atividade com terceiro maior valor adicionado bruto"
"2019","3","Sudeste","31","MG","Minas Gerais","3150406","Piedade dos Gerais","","3107","Metropolitana de Belo Horizonte","31032","Itaguara","310069","Oliveira","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  12,785 ","  3,201 ","  19,938 ","  25,287 ","  61,211 ","  3,085 ","  64,296 ","  12,905.70 ","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços","Agricultura, inclusive apoio à agricultura e a pós colheita"
"2019","3","Sudeste","31","MG","Minas Gerais","3152006","Pompéu","","3106","Central Mineira","31024","Três Marias","310067","Dores do Indaiá","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  131,289 ","  142,024 ","  342,896 ","  139,038 ","  755,246 ","  83,772 ","  839,018 ","  26,374.26 ","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social","Comércio e reparação de veículos automotores e motocicletas"
"2019","3","Sudeste","31","MG","Minas Gerais","3153806","Queluzito","","3107","Metropolitana de Belo Horizonte","31034","Conselheiro Lafaiete","310038","Conselheiro Lafaiete","do Entorno","3107","Barbacena","do Entorno","3118304","Conselheiro Lafaiete/MG","Média concentração urbana","3118304","Conselheiro Lafaiete/MG","Centro Local","Centro Local","3104","Região Rural da Capital Regional de Juiz de Fora","Região Rural de Capital Regional","Não","Não","Não","  6,358 ","  1,376 ","  9,325 ","  13,955 ","  31,015 ","  1,122 ","  32,137 ","  16,574.07 ","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços","Pecuária, inclusive apoio à pecuária"
"2019","3","Sudeste","31","MG","Minas Gerais","3154200","Resende Costa","","3111","Campo das Vertentes","31058","São João Del Rei","310039","São João del Rei","do Entorno","3107","Barbacena","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  37,395 ","  16,184 ","  68,971 ","  48,237 ","  170,786 ","  9,661 ","  180,447 ","  15,691.02 ","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social","Produção florestal, pesca e aquicultura"
"2019","3","Sudeste","31","MG","Minas Gerais","3155306","Rio Manso","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31032","Itaguara","310069","Oliveira","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  11,638 ","  6,836 ","  48,136 ","  26,822 ","  93,432 ","  9,481 ","  102,913 ","  17,646.22 ","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social","Comércio e reparação de veículos automotores e motocicletas"
"2019","3","Sudeste","31","MG","Minas Gerais","3160900","São Brás do Suaçuí","","3107","Metropolitana de Belo Horizonte","31034","Conselheiro Lafaiete","310038","Conselheiro Lafaiete","do Entorno","3107","Barbacena","do Entorno","3118304","Conselheiro Lafaiete/MG","Média concentração urbana","3118304","Conselheiro Lafaiete/MG","Centro Local","Centro Local","3104","Região Rural da Capital Regional de Juiz de Fora","Região Rural de Capital Regional","Não","Não","Não","  2,061 ","  3,257 ","  29,146 ","  24,921 ","  59,386 ","  3,785 ","  63,170 ","  16,899.52 ","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços","Comércio e reparação de veículos automotores e motocicletas"
"2019","3","Sudeste","31","MG","Minas Gerais","3162922","São Joaquim de Bicas","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  32,808 ","  131,969 ","  195,228 ","  144,208 ","  504,214 ","  75,620 ","  579,834 ","  18,361.96 ","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social","Indústrias de transformação"
"2019","3","Sudeste","31","MG","Minas Gerais","3163102","São José da Varginha","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31029","Pará de Minas","310068","Pará de Minas","do Entorno","3113","Divinópolis","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  42,102 ","  2,879 ","  19,132 ","  24,640 ","  88,753 ","  3,951 ","  92,704 ","  18,526.03 ","Pecuária, inclusive apoio à pecuária","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços"
"2019","3","Sudeste","31","MG","Minas Gerais","3165537","Sarzedo","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  1,915 ","  451,207 ","  330,185 ","  163,717 ","  947,024 ","  122,227 ","  1,069,251 ","  32,646.90 ","Demais serviços","Indústrias extrativas","Administração, defesa, educação e saúde públicas e seguridade social"
"2019","3","Sudeste","31","MG","Minas Gerais","3167202","Sete Lagoas","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31027","Sete Lagoas","310002","Sete Lagoas","Polo","3101","Belo Horizonte","do Entorno","3167202","Sete Lagoas/MG","Média concentração urbana","3167202","Sete Lagoas/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  22,871 ","  3,158,204 ","  3,814,395 ","  1,109,223 ","  8,104,693 ","  1,447,973 ","  9,552,666 ","  39,862.74 ","Demais serviços","Indústrias de transformação","Administração, defesa, educação e saúde públicas e seguridade social"
